,concepts,type,Definition,process_name,DataProperty,synonyms
105, data analysis,Has_Technics_Tools,data analysis techniques that can be used for this process include but are not limited to  whatif scenario analysis whatif scenario analysis is the process of evaluating scenarios in order to predict  their effect positive or negative on project objectives this is an analysis of the question “what if the situation  represented by scenario happens” a schedule network analysis is performed using the schedule to compute  the different scenarios such as delaying a major component delivery extending speciﬁc engineering durations  or introducing external factors such as a strike or a change in the permit process the outcome of the whatif  scenario analysis can be used to assess the feasibility of the project schedule under different conditions and in  preparing schedule reserves and response plans to address the impact of unexpected situations  simulation simulation models the combined effects of individual project risks and other sources of uncertainty  to evaluate their potential impact on achieving project objectives the most common simulation technique is  monte carlo analysis see section  in which risks and other sources of uncertainty are used to calculate  possible schedule outcomes for the total project simulation involves calculating multiple work package durations  with different sets of activity assumptions constraints risks issues or scenarios using probability distributions  and other representations of uncertainty see section  figure  shows a probability distribution for a  project with the probability of achieving a certain target date ie project ﬁnish date in this example there is a   probability that the project will ﬁnish on or before the target date of may  while there is a  probability  of completing the project by may      project finish date                                        figure  example probability distribution of a target milestone for more information on how monte carlo simulation is used for schedule models see the practice standard  for scheduling, develop schedule,section 11.4.2.5,information psychoanalysis 
106, leads and lags,Has_Technics_Tools,  leads and lags are reﬁnements applied during network analysis to develop a viable  schedule by adjusting the start time of the successor activities leads are used in limited circumstances to advance a  successor activity with respect to the predecessor activity and lags are used in limited circumstances where processes  require a set period of time to elapse between the predecessors and successors without work or resource impact, develop schedule,section 6.3.2.3,lead slowdown 
107, schedule compression,Has_Technics_Tools,schedule compression techniques are used to shorten or accelerate the schedule duration without reducing the  project scope in order to meet schedule constraints imposed dates or other schedule objectives a helpful technique  is the negative ﬂoat analysis the critical path is the one with the least ﬂoat due to violating a constraint or imposed  date the total ﬂoat can become negative schedule compression techniques are compared in figure  and include  crashing a technique used to shorten the schedule duration for the least incremental cost by adding resources  examples of crashing include approving overtime bringing in additional resources or paying to expedite delivery  to activities on the critical path crashing works only for activities on the critical path where additional resources  will shorten the activity’s duration crashing does not always produce a viable alternative and may result in  increased risk andor cost  fast tracking a schedule compression technique in which activities or phases normally done in sequence  are performed in parallel for at least a portion of their duration an example is constructing the foundation for a  building before completing all of the architectural drawings fast tracking may result in rework and increased  risk fast tracking only works when activities can be overlapped to shorten the project duration on the critical  path using leads in case of schedule acceleration usually increases coordination efforts between the activities  concerned and increases quality risk fast tracking may also increase project costs figure  schedule compression comparison normal crashing fast tracking                                          high risk high cost, develop schedule,,agenda compaction 
108, project management information system pmis,Has_Technics_Tools,  project management information systems include scheduling software that expedites  the process of building a schedule model by generating start and ﬁnish dates based on, develop schedule,section 4.3.2.2,undertaking direction info organization 
109, agile release planning,Has_Technics_Tools,agile release planning provides a highlevel summary timeline of the release schedule typically  to  months  based on the product roadmap and the product vision for the product’s evolution agile release planning also  determines the number of iterations or sprints in the release and allows the product owner and team to decide  how much needs to be developed and how long it will take to have a releasable product based on business goals  dependencies and impediments since features represent value to the customer the timeline provides a more easily understood project schedule  as it deﬁnes which feature will be available at the end of each iteration which is exactly the depth of information the  customer is looking for figure  shows the relationship among product vision product roadmap release planning and iteration planning figure  relationship between product vision release planning and iteration planning release  release  release  release plan iteration plan iteration  iteration  iteration  iteration  iteration n feature d user story  feature c user story  feature b user story  feature a user story  feature a user story   hours  hours  hours  hours task a task b task c task d product vision drives product roadmap product roadmap drives release plans release plan establishes  the iterations iteration plans schedules feature development tasks estimated in hours created to deliver user stories prioritized features delivered by user stories estimated in story points, develop schedule,,nimble sacking preparation 
110, schedule baseline,Has_Outputs,a schedule baseline is the approved version of a schedule model that can be changed only through formal change  control procedures and is used as a basis for comparison to actual results it is accepted and approved by the appropriate  stakeholders as the schedule baseline with baseline start dates and baseline ﬁnish dates during monitoring and  controlling the approved baseline dates are compared to the actual start and ﬁnish dates to determine if variances have  occurred the schedule baseline is a component of the project management plan, develop schedule,,agenda service_line 
111, project schedule,Has_Outputs,the project schedule is an output of a schedule model that presents linked activities with planned dates durations  milestones and resources at a minimum the project schedule includes a planned start date and planned ﬁnish date  for each activity if resource planning is done at an early stage the project schedule remains preliminary until resource  assignments have been conﬁrmed and scheduled start and ﬁnish dates are established this process usually occurs no  later than the completion of the project management plan section  a target project schedule model may also  be developed with a deﬁned target start and target ﬁnish for each activity the project schedule may be presented in  summary form sometimes referred to as the master schedule or milestone schedule or presented in detail although  a project schedule model can be presented in tabular form it is more often presented graphically using one or more of  the following formats  bar charts also known as gantt charts bar charts represent schedule information where activities are listed  on the vertical axis dates are shown on the horizontal axis and activity durations are shown as horizontal  bars placed according to start and ﬁnish dates bar charts are relatively easy to read and are commonly used  depending on the audience ﬂoat can be depicted or not for control and management communications the  broader more comprehensive summary activity is used between milestones or across multiple interdependent  work packages and is displayed in bar chart reports an example is the summary schedule portion of figure   that is presented in a wbsstructured format      milestone charts these charts are similar to bar charts but only identify the scheduled start or completion of  major deliverables and key external interfaces an example is the milestone schedule portion of figure   project schedule network diagrams these diagrams are commonly presented in the activityonnode  diagram format showing activities and relationships without a time scale sometimes referred to as a pure  logic diagram as shown in figure  or presented in a timescaled schedule network diagram format that  is sometimes called a logic bar chart as shown for the detailed schedule in figure  these diagrams with  activity date information usually show both the project network logic and the project’s critical path schedule  activities this example also shows how each work package is planned as a series of related activities  another presentation of the project schedule network diagram is a timescaled logic diagram these diagrams  include a time scale and bars that represent the duration of activities with the logical relationships they are  optimized to show the relationships between activities where any number of activities may appear on the  same line of the diagram in sequence  figure  shows schedule presentations for a sample project being executed with the work in progress reported  through asof date or status date for a simple project schedule model figure  reﬂects schedule presentations in  the forms of  a milestone schedule as a milestone chart  a summary schedule as a bar chart and  a detailed  schedule as a project schedule linked bar chart diagram figure  also visually shows the relationships among the  different levels of detail of the project schedule   project schedule time frame period  period  period  period  activity identifier mb begin new product z period  calendar units calendar units calendar units complete component  complete component   finish new product z     activity description project schedule time frame period  period  period  period  activity identifier mb                   period  activity description m m mf complete integration of components     m project schedule time frame period  period  period  period  activity identifier  develop and deliver new product z period  work package  component   work package  component   work package  integrated components  and      activity description    milestone schedule data date data date detailed schedule t   d b t m  d b m m  g t data date ss fs p mf summary schedule begin new product z develop and deliver product z     work package  component  design component  build component  test component    complete component      work package  component  design component  build component  test component  complete component      work package  integrated components  and  integrate components  and  as product z complete integration of components  and  test integrated components as product z deliver product z finish new product z figure  project schedule presentations examples, develop schedule,section 4.2.3.1,undertaking agenda 
112, schedule data,Has_Outputs,the schedule data for the project schedule model is the collection of information for describing and controlling the  schedule the schedule data includes at a minimum the schedule milestones schedule activities activity attributes  and documentation of all identiﬁed assumptions and constraints the amount of additional data varies by application  area information frequently supplied as supporting detail includes but is not limited to  resource requirements by time period often in the form of a resource histogram  alternative schedules such as bestcase or worstcase not resourceleveled or resourceleveled or with or  without imposed dates and  applied schedule reserves schedule data could also include such items as resource histograms cashﬂow projections order and delivery  schedules or other relevant information, develop schedule,,agenda information 
113, project calendars,Has_Outputs,a project calendar identiﬁes working days and shifts that are available for scheduled activities it distinguishes  time periods in days or parts of days that are available to complete scheduled activities from time periods that are not  available for work a schedule model may require more than one project calendar to allow for different work periods for  some activities to calculate the project schedule the project calendars may be updated, develop schedule,,undertaking calendar 
114, change requests,Has_Outputs,  modiﬁcations to the project scope or project schedule may result in change requests  to the scope baseline andor other components of the project management plan change requests are processed for  review and disposition through the perform integrated change control process section  preventive actions may  include recommended changes to eliminate or reduce the probability of negative schedule variances, develop schedule,section 4.3.3.4,alteration request 
115, project management plan updates,Has_Outputs,any change to the project management plan goes through the organization’s change control process via a change  request components that may require a change request for the project management plan include but are not limited to  schedule management plan   the schedule management plan may be updated to  reﬂect a change in the way the schedule was developed and will be managed  cost baseline   changes to the cost baseline are incorporated in response to  approved changes in scope resources or cost estimates in some cases cost variances can be so severe that a  revised cost baseline is needed to provide a realistic basis for performance measurement, develop schedule,section 6.1.3.1,undertaking direction program update 
116, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  activity attributes   activity attributes are updated to include any revised resource  requirements and any other revisions generated by the develop schedule process  assumption log   the assumption log may be updated with changes to assumptions  in duration resource utilization sequencing or other information that is revealed as a result of developing the  schedule model  duration estimates   the number and availability of resources along with the  activity dependencies can result in a change to the duration estimates if the resourceleveling analysis changes  the resource requirements then the duration estimates will likely need to be updated as well  lessons learned register   the lessons learned register can be updated with  techniques that were efﬁcient and effective in developing the schedule model  resource requirements   resource leveling can have a signiﬁcant effect on  preliminary estimates for the types and quantities of resources required if the resourceleveling analysis changes  the resource requirements then the resource requirements are updated  risk register   the risk register may need to be updated to reﬂect opportunities or  threats perceived through scheduling assumptions      control schedule control schedule is the process of monitoring the status of the project to update the project schedule and managing  changes to the schedule baseline the key beneﬁt of this process is that the schedule baseline is maintained throughout  the project this process is performed throughout the project   when an agile approach is used control schedule is concerned with  determining the current status of the project schedule by comparing the total amount of work delivered and  accepted against the estimates of work completed for the elapsed time cycle  conducting retrospectives scheduled reviews to record lessons learned for correcting processes and improving  if required  reprioritizing the remaining work plan backlog  determining the rate at which the deliverables are produced validated and accepted velocity in the given time  per iteration agreedupon work cycle duration typically  weeks or  month  determining that the project schedule has changed and  managing the actual changes as they occur when work is being contracted regular and milestone status updates from contractors and suppliers are a means of  ensuring the work is progressing as agreed upon to ensure the schedule is under control scheduled status reviews and  walkthroughs should be done to ensure the contractor reports are accurate and complete, develop schedule,section 6.2.3.2,undertaking document update 
117, project charter,Has_Inputs,  the project charter provides the preapproved ﬁnancial resources from which the detailed  project costs are developed the project charter also deﬁnes the project approval requirements that will inﬂuence the  management of the project costs, plan cost management,section 4.2.3.1,undertaking lease 
118, project management plan,Has_Inputs,  project management plan components include but are not limited to  schedule management plan   the schedule management plan establishes the  criteria and the activities for developing monitoring and controlling the schedule the schedule management  plan provides processes and controls that will impact cost estimation and management  risk management plan   the risk management plan provides the approach for  identifying analyzing and monitoring risks the risk management plan provides processes and controls that will  impact cost estimation and management, plan cost management,section 4.2.3.1,undertaking direction program 
119, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the plan cost management process include but are not  limited to  organizational culture and structure can inﬂuence cost management  market conditions describe what products services and results are available in the regional and global markets  currency exchange rates for project costs are sourced from more than one country    published commercial information such as resource cost rate information is often available from commercial  databases that track skills and human resource costs and provide standard costs for material and equipment  published seller price lists are another source of information  project management information system provides alternative possibilities for managing cost  productivity differences in different parts of the world can have a large inﬂuence on the cost of projects, plan cost management,,endeavor environmental factor 
120, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the plan cost management process include but are not limited to  financial controls procedures eg time reporting required expenditure and disbursement reviews accounting  codes and standard contract provisions  historical information and lessons learned repository  financial databases and  existing formal and informal cost estimating and budgetingrelated policies procedures and guidelines, plan cost management,,organisational procedure asset 
121, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  or training in the following topics  previous similar projects  information in the industry discipline and application area  cost estimating and budgeting and  earned value management, plan cost management,section 4.1.2.1,adept opinion 
122, data analysis,Has_Technics_Tools,a data analysis technique that can be used for this process includes but is not limited to alternatives analysis  alternatives analysis can include reviewing strategic funding options such as selffunding funding with equity or  funding with debt it can also include consideration of ways to acquire project resources such as making purchasing  renting or leasing, plan cost management,,information psychoanalysis 
123, meetings,Has_Technics_Tools,project teams may hold planning meetings to develop the cost management plan attendees may include the project  manager the project sponsor selected project team members selected stakeholders anyone with responsibility for  project costs and others as needed, plan cost management,,meeting 
124, cost management plan,Has_Outputs,the cost management plan is a component of the project management plan and describes how the project costs will  be planned structured and controlled the cost management processes and their associated tools and techniques are  documented in the cost management plan for example the cost management plan can establish the following  units of measure each unit used in measurements such as staff hours staff days or weeks for time measures  meters liters tons kilometers or cubic yards for quantity measures or lump sum in currency form is deﬁned  for each of the resources  level of precision this is the degree to which cost estimates will be rounded up or down eg us to  us based on the scope of the activities and magnitude of the project  level of accuracy the acceptable range eg ± used in determining realistic cost estimates is speciﬁed  and may include an amount for contingencies    organizational procedures links the work breakdown structure wbs section  provides the  framework for the cost management plan allowing for consistency with the estimates budgets and control  of costs the wbs component used for the project cost accounting is called the control account each  control account is assigned a unique code or account numbers that links directly to the performing  organization’s accounting system  control thresholds variance thresholds for monitoring cost performance may be speciﬁed to indicate an  agreedupon amount of variation to be allowed before some action needs to be taken thresholds are typically  expressed as percentage deviations from the baseline plan  rules of performance measurement earned value management evm rules of performance measurement are  set for example the cost management plan may  deﬁne the points in the wbs at which measurement of control accounts will be performed  establish the evm techniques eg weighted milestones ﬁxedformula percent complete etc to be  employed and  specify tracking methodologies and the evm computation equations for calculating projected estimate at  completion eac forecasts to provide a validity check on the bottomup eac  reporting formats the formats and frequency for the various cost reports are deﬁned  additional details additional details about cost management activities include but are not limited to  description of strategic funding choices  procedure to account for ﬂuctuations in currency exchange rates and  procedure for project cost recording for more speciﬁc information regarding earned value management refer to the practice standard for earned value  management second edition       estimate costs estimate costs is the process of developing an approximation of the cost of resources needed to complete project  work the key beneﬁt of this process is that it determines the monetary resources required for the project this process  is performed periodically throughout the project as needed  a cost estimate is a quantitative assessment of the likely costs for resources required to complete the activity it is a  prediction that is based on the information known at a given point in time cost estimates include the identiﬁcation and  consideration of costing alternatives to initiate and complete the project cost tradeoffs and risks should be considered  such as make versus buy buy versus lease and the sharing of resources in order to achieve optimal costs for the project cost estimates are generally expressed in units of some currency ie dollars euros yen etc although in some  instances other units of measure such as staff hours or staff days are used to facilitate comparisons by eliminating the  effects of currency ﬂuctuations cost estimates should be reviewed and reﬁned during the course of the project to reﬂect additional detail as it becomes  available and assumptions are tested the accuracy of a project estimate will increase as the project progresses through  the project life cycle for example a project in the initiation phase may have a rough order of magnitude rom estimate  in the range of  to  later in the project as more information is known deﬁnitive estimates could narrow  the range of accuracy to  to  in some organizations there are guidelines for when such reﬁnements can be  made and the degree of conﬁdence or accuracy that is expected costs are estimated for all resources that will be charged to the project this includes but is not limited to labor  materials equipment services and facilities as well as special categories such as an inﬂation allowance cost of  ﬁnancing or contingency costs cost estimates may be presented at the activity level or in summary form, plan cost management,,toll direction program 
125, project management plan,Has_Inputs,  project management plan components include but are not limited to  cost management plan   the cost management plan describes estimating methods  that can be used and the level of precision and accuracy required for the cost estimate  quality management plan   the quality management plan describes the activities  and resources necessary for the project management team to achieve the quality objectives set for the project      scope baseline   the scope baseline includes the project scope statement wbs  and wbs dictionary  project scope statement the scope statement section  reﬂects funding constraints by period for the  expenditure of project funds or other ﬁnancial assumptions and constraints  work breakdown structure the wbs section  provides the relationships among all the project  deliverables and their various components  wbs dictionary the wbs dictionary section  and related detailed statements of work provide an  identiﬁcation of the deliverables and a description of the work in each wbs component required to produce  each deliverable, estimate costs,section 4.2.3.1,undertaking direction program 
126, project documents,Has_Inputs,project documents that can be considered, estimate costs,section 4.4.3.1,undertaking document 
127, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the estimate costs process include but are not limited to  market conditions these conditions describe what products services and results are available in the market  from whom and under what terms and conditions regional andor global supply and demand conditions greatly  inﬂuence resource costs  published commercial information resource cost rate information is often available from commercial  databases that track skills and human resource costs and provide standard costs for material and equipment  published seller price lists are another source of information  exchange rates and inflation for largescale projects that extend multiple years with multiple currencies the  ﬂuctuations of currencies and inﬂation need to be understood and built into the estimate cost process, estimate costs,,endeavor environmental factor 
128, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the estimate costs process include but are not limited to  cost estimating policies  cost estimating templates  historical information and lessons learned repository, estimate costs,,organisational procedure asset 
129, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  or training in the following topics  previous similar projects  information in the industry discipline and application area and  cost estimating methods, estimate costs,section 4.1.2.1,adept opinion 
130, analogous estimating,Has_Technics_Tools,  analogous cost estimating uses values or attributes of a previous project that are  similar to the current project values and attributes of the projects may include but are not limited to scope cost budget  duration and measures of scale eg size weight comparison of these project values or attributes becomes the basis  for estimating the same parameter or measurement for the current project, estimate costs,section 6.4.2.2,correspondent calculate 
131, parametric estimating,Has_Technics_Tools,  parametric estimating uses a statistical relationship between relevant historical data  and other variables eg square footage in construction to calculate a cost estimate for project work this technique can  produce higher levels of accuracy depending on the sophistication and underlying data built into the model parametric  cost estimates can be applied to a total project or to segments of a project in conjunction with other estimating methods, estimate costs,section 6.4.2.3,parametric calculate 
132, bottomup estimating,Has_Technics_Tools,  bottomup estimating is a method of estimating a component of work the cost  of individual work packages or activities is estimated to the greatest level of specified detail the detailed cost  is then summarized or “rolled up” to higher levels for subsequent reporting and tracking purposes the cost and  accuracy of bottomup cost estimating are typically influenced by the size or other attributes of the individual  activity or work package, estimate costs,section 6.4.2.5,calculate 
133, threepoint estimating,Has_Technics_Tools,  the accuracy of singlepoint cost estimates may be improved by considering estimation  uncertainty and risk and using three estimates to deﬁne an approximate range for an activity’s cost  most likely cm the cost of the activity based on realistic effort assessment for the required work and any  predicted expenses  optimistic co the cost based on analysis of the bestcase scenario for the activity  pessimistic cp the cost based on analysis of the worstcase scenario for the activity   depending on the assumed distribution of values within the range of the three estimates the expected cost ce can  be calculated using a formula two commonly used formulas are triangular and beta distributions the formulas are  triangular distribution ce  co  cm  cp    beta distribution ce  co  cm  cp   cost estimates based on three points with an assumed distribution provide an expected cost and clarify the range of  uncertainty around the expected cost, estimate costs,section 6.4.2.4,calculate 
134, data analysis,Has_Technics_Tools,data analysis techniques that can be used in the estimate costs process include but are not limited to  alternatives analysis alternatives analysis is a technique used to evaluate identiﬁed options in order to select  which options or approaches to use to execute and perform the work of the project an example would be  evaluating the cost schedule resource and quality impacts of buying versus making a deliverable  reserve analysis cost estimates may include contingency reserves sometimes called contingency allowances  to account for cost uncertainty contingency reserves are the budget within the cost baseline that is allocated for  identiﬁed risks contingency reserves are often viewed as the part of the budget intended to address the known unknowns that can affect a project for example rework for some project deliverables could be anticipated while  the amount of this rework is unknown contingency reserves may be estimated to account for this unknown  amount of rework contingency reserves can be provided at any level from the speciﬁc activity to the entire  project the contingency reserve may be a percentage of the estimated cost a ﬁxed number or may be developed  by using quantitative analysis methods as more precise information about the project becomes available the contingency reserve may be used reduced  or eliminated contingency should be clearly identiﬁed in cost documentation contingency reserves are part of  the cost baseline and the overall funding requirements for the project  cost of quality assumptions about costs of quality section  may be used to prepare the estimates this  includes evaluating the cost impact of additional investment in conformance versus the cost of nonconformance  it can also include looking at shortterm cost reductions versus the implication of more frequent problems later  on in the product life cycle, estimate costs,section 8.1.2.3,information psychoanalysis 
135, project management information system pmis,Has_Technics_Tools,  the project management information system can include spreadsheets simulation  software and statistical analysis tools to assist with cost estimating such tools simplify the use of some costestimating  techniques and thereby facilitate rapid consideration of cost estimate alternatives, estimate costs,section 4.3.2.2,undertaking direction info organization 
136, decision making,Has_Technics_Tools,the decisionmaking techniques that can be used in the estimate costs process include but are not limited to voting    voting is an assessment process having multiple alternatives with an expected outcome in  the form of future actions these techniques are useful for engaging team members to improve estimate accuracy and  commitment to the emerging estimates, estimate costs,section 5.2.2.4,determination devising 
137, cost estimates,Has_Outputs,cost estimates include quantitative assessments of the probable costs required to complete project work as well as  contingency amounts to account for identiﬁed risks and management reserve to cover unplanned work cost estimates  can be presented in summary form or in detail costs are estimated for all resources that are applied to the cost  estimate this includes but is not limited to direct labor materials equipment services facilities information technology  and special categories such as cost of ﬁnancing including interest charges an inﬂation allowance exchange rates  or a cost contingency reserve indirect costs if they are included in the project estimate can be included at the activity  level or at higher levels, estimate costs,,toll estimate 
138, basis of estimates,Has_Outputs,the amount and type of additional details supporting the cost estimate vary by application area regardless of  the level of detail the supporting documentation should provide a clear and complete understanding of how the cost  estimate was derived supporting detail for cost estimates may include  documentation of the basis of the estimate ie how it was developed  documentation of all assumptions made  documentation of any known constraints  documentation of identiﬁed risks included when estimating costs  indication of the range of possible estimates eg us ± to indicate that the item is expected to  cost between a range of values and  indication of the conﬁdence level of the ﬁnal estimate, estimate costs,,foundation estimate 
139, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  assumption log   during the cost estimates process new assumptions may be  made new constraints may be identiﬁed and existing assumptions or constraints may be revisited and changed  the assumption log should be updated with this new information  lessons learned register   the lessons learned register can be updated with  techniques that were efﬁcient and effective in developing cost estimates  risk register   the risk register may be updated when appropriate risk responses  are chosen and agreed upon during the estimate cost process      determine budget determine budget is the process of aggregating the estimated costs of individual activities or work packages to  establish an authorized cost baseline the key beneﬁt of this process is that it determines the cost baseline against  which project performance can be monitored and controlled this process is performed once or at predeﬁned points in  the project  figure  determine budget data flow diagram, estimate costs,section 4.1.3.2,undertaking document update 
140, project management plan,Has_Inputs,  project management plan components include but are not limited to  cost management plan   the cost management plan describes how the project  costs will be structured into the project budget  resource management plan   the resource management plan provides information  on rates personnel and other resources estimation of travel costs and other foreseen costs that are necessary  to estimate the overall project budget  scope baseline   the scope baseline includes the project scope statement wbs  and wbs dictionary details for cost estimation and management, determine budget,section 4.2.3.1,undertaking direction program 
141, project documents,Has_Inputs,examples of project documents that can be considered, determine budget,section 6.4.3.2,undertaking document 
142, business documents,Has_Inputs,  the business documents that can be considered, determine budget,section 1.2.6.,business_concern document 
143, agreements,Has_Inputs,  applicable agreement information and costs relating to products services or results  that have been or will be purchased are included when determining the budget, determine budget,section 12.2.3.2,agreement 
144, enterprise environmental factors,Has_Inputs,the enterprise environmental factors that can inﬂuence the estimate costs process include but are not limited  to exchange rates for largescale projects that extend multiple years with multiple currencies the ﬂuctuations of  currencies need to be understood and built into the determine budget process, determine budget,,endeavor environmental factor 
145, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the determine budget process include but are not limited to  existing formal and informal cost budgetingrelated policies procedures and guidelines  historical information and lessons learned repository  cost budgeting tools and  reporting methods, determine budget,,organisational procedure asset 
146, expert judgment,Has_Technics_Tools,  expertise should be considered from individuals or groups with specialized knowledge  or training in the following topics  previous similar projects  information in the industry discipline and application area  financial principles and  funding requirement and sources, determine budget,section 4.1.2.1,adept opinion 
147, cost aggregation,Has_Technics_Tools,cost estimates are aggregated by work packages in accordance with the wbs the work package cost estimates  are then aggregated for the higher component levels of the wbs such as control accounts and ultimately for the  entire project, determine budget,,toll collection 
148, data analysis,Has_Technics_Tools,a data analysis technique that can be used in the determine budget process includes but is not limited to reserve  analysis which can establish the management reserves for the project management reserves are an amount of  the project budget withheld for management control purposes and are reserved for unforeseen work that is within  scope of the project management reserves are intended to address the unknown unknowns that can affect a project  the management reserve is not included in the cost baseline but is part of the overall project budget and funding  requirements when an amount of management reserves is used to fund unforeseen work the amount of management  reserve used is added to the cost baseline thus requiring an approved change to the cost baseline, determine budget,,information psychoanalysis 
149, historical information review,Has_Technics_Tools,reviewing historical information can assist in developing parametric estimates or analogous estimates historical  information may include project characteristics parameters to develop mathematical models to predict total project  costs such models may be simple eg residential home construction is based on a certain cost per square foot of space  or complex eg one model of software development costing uses multiple separate adjustment factors each of which  has numerous points within it both the cost and accuracy of analogous and parametric models can vary widely they are most likely to be  reliable when  historical information used to develop the model is accurate  parameters used in the model are readily quantiﬁable and  models are scalable such that they work for large projects small projects and phases of a project, determine budget,,historic info reappraisal 
150, funding limit reconciliation,Has_Technics_Tools,the expenditure of funds should be reconciled with any funding limits on the commitment of funds for the project  a variance between the funding limits and the planned expenditures will sometimes necessitate the rescheduling of  work to level out the rate of expenditures this is accomplished by placing imposed date constraints for work into  the project schedule, determine budget,,financial_support bound rapprochement 
151, financing,Has_Technics_Tools,financing entails acquiring funding for projects it is common for longterm infrastructure industrial and public  services projects to seek external sources of funds if a project is funded externally the funding entity may have certain  requirements that are required to be met, determine budget,,finance 
152, cost baseline,Has_Outputs,the cost baseline is the approved version of the timephased project budget excluding any management reserves  which can only be changed through formal change control procedures it is used as a basis for comparison to actual  results the cost baseline is developed as a summation of the approved budgets for the different schedule activities figure  illustrates the various components of the project budget and cost baseline cost estimates for the various  project activities along with any contingency reserves see section  for these activities are aggregated  into their associated work package costs the work package cost estimates along with any contingency reserves  estimated for the work packages are aggregated into control accounts the summation of the control accounts  make up the cost baseline since the cost estimates that make up the cost baseline are directly tied to the schedule  activities this enables a timephased view of the cost baseline which is typically displayed in the form of an scurve  as is illustrated in figure  for projects that use earned value management the cost baseline is referred to as the  performance measurement baseline management reserves section  are added to the cost baseline to produce the project budget as changes  warranting the use of management reserves arise the change control process is used to obtain approval to move the  applicable management reserve funds into the cost baseline   figure  project budget components  figure  cost baseline expenditures and funding requirements activity cost estimates activity contingency reserve work package cost estimates contingency reserve cost baseline control accounts management reserve project budget project budget component total amount bac project budget management reserve funding requirements cost baseline expenditures time cumulative values, determine budget,section 7.2.2.6,toll service_line 
153, project funding requirements,Has_Outputs,total funding requirements and periodic funding requirements eg quarterly annually are derived from the cost  baseline the cost baseline will include projected expenditures plus anticipated liabilities funding often occurs in  incremental amounts and may not be evenly distributed which appear as steps in figure  the total funds required  are those included in the cost baseline plus management reserves if any funding requirements may include the  sources of the funding, determine budget,,undertaking financial_support requirement 
154, project documents updates,Has_Outputs,project documents that may be updated as a result of carrying out this process include but are not limited to  cost estimates   cost estimates are updated to record any additional information  project schedule   estimated costs for each activity may be recorded as part of the  project schedule  risk register   new risks identiﬁed during this process are recorded in the risk  register and managed using the risk management processes    control costs control costs is the process of monitoring the status of the project to update the project costs and managing changes  to the cost baseline the key beneﬁt of this process is that the cost baseline is maintained throughout the project this  process is performed throughout the project   updating the budget requires knowledge of the actual costs spent to date any increase to the authorized budget can  only be approved through the perform integrated change control process section  monitoring the expenditure of  funds without regard to the value of work being accomplished for such expenditures has little value to the project other  than to track the outﬂow of funds much of the effort of cost control involves analyzing the relationship between the  consumption of project funds and the work being accomplished for such expenditures the key to effective cost control  is the management of the approved cost baseline project cost control includes  inﬂuencing the factors that create changes to the authorized cost baseline  ensuring that all change requests are acted on in a timely manner  managing the actual changes when and as they occur  ensuring that cost expenditures do not exceed the authorized funding by period by wbs component by activity  and in total for the project  monitoring cost performance to isolate and understand variances from the approved cost baseline  monitoring work performance against funds expended  preventing unapproved changes from being included in the reported cost or resource usage  informing appropriate stakeholders of all approved changes and associated cost and  bringing expected cost overruns within acceptable limits, determine budget,section 7.2.3.1,undertaking document update 
155, project management plan,Has_Inputs,  project management plan components include but are not limited to  cost management plan   the cost management plan describes how the project  costs will be managed and controlled  cost baseline   the cost baseline is compared with actual results to determine if a  change corrective action or preventive action is necessary  performance measurement baseline   when using earned value analysis the  performance measurement baseline is compared to actual results to determine if a change corrective action or  preventive action is necessary      project documents examples of project documents that can be considered, control costs,section 4.2.3.1,undertaking direction program 
156, project funding requirements,Has_Inputs,  the project funding requirements include projected expenditures plus anticipated liabilities, control costs,section 7.3.3.2,undertaking financial_support requirement 
157, work performance data,Has_Inputs,  work performance data contains data on project status such as which costs have been  authorized incurred invoiced and paid, control costs,section 4.3.3.2,process public_presentation information 
158, organizational process assets,Has_Inputs,the organizational process assets that can inﬂuence the control costs process include but are not limited to  existing formal and informal cost controlrelated policies procedures and guidelines  cost control tools and  monitoring and reporting methods to be used, control costs,,organisational procedure asset 
159, expert judgment,Has_Technics_Tools,  examples of expert judgment during the control costs process include but are not  limited to  variance analysis  earned value analysis  forecasting and  financial analysis, control costs,section 4.1.2.1,adept opinion 
